,online_order,book_table,rate,votes,location,rest_type,cost_two,type,city,Beverages,Biryani,Cafe,Chinese,Continental,Desserts,Fast Food,Italian,North Indian,South Indian
294,Yes,No,5,444,Basavanagudi,Quick Bites,100,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
295,Yes,No,4,134,Jayanagar,Quick Bites,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,1
296,Yes,No,4,577,Jayanagar,Casual Dining,900,Delivery,Banashankari,1,1,0,0,0,0,0,0,1,1
298,Yes,No,4,144,Jayanagar,Casual Dining,550,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
299,Yes,No,5,787,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
301,Yes,No,4,84,Banashankari,Quick Bites,250,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
303,Yes,Yes,4,349,Banashankari,Casual Dining,1200,Delivery,Banashankari,1,1,0,0,0,0,0,0,1,1
304,Yes,No,4,248,Kumaraswamy Layout,Quick Bites,400,Delivery,Banashankari,0,0,0,0,0,0,1,0,1,0
305,Yes,No,5,216,Basavanagudi,Cafe,500,Delivery,Banashankari,1,0,1,0,1,1,0,0,0,0
307,Yes,No,4,324,Banashankari,Cafe,700,Delivery,Banashankari,0,0,1,0,1,0,0,1,0,0
308,Yes,No,3,231,Kumaraswamy Layout,Quick Bites,400,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
309,Yes,No,4,102,Uttarahalli,Casual Dining,400,Delivery,Banashankari,1,0,0,1,0,0,0,0,1,1
310,Yes,No,4,133,Banashankari,Cafe,800,Delivery,Banashankari,0,0,1,1,1,0,1,0,0,0
311,Yes,No,3,45,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,0,0,0,0,1,0,0
313,Yes,No,4,75,Banashankari,Quick Bites,200,Delivery,Banashankari,0,0,0,1,0,0,1,0,0,0
314,Yes,No,4,53,Rajarajeshwari Nagar,Delivery,600,Delivery,Banashankari,0,0,0,0,0,0,0,1,0,0
315,Yes,Yes,5,815,Jayanagar,Casual Dining,900,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
316,Yes,Yes,4,633,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
317,Yes,No,4,56,Jayanagar,Dessert Parlor,400,Delivery,Banashankari,1,0,0,0,0,1,0,0,0,0
322,Yes,No,4,70,Banashankari,Dessert Parlor,400,Delivery,Banashankari,0,0,0,0,0,1,1,0,0,0
323,Yes,No,4,91,Jayanagar,Cafe,300,Delivery,Banashankari,0,0,1,1,0,0,1,0,0,0
330,Yes,No,4,77,Kumaraswamy Layout,Cafe,650,Delivery,Banashankari,0,0,1,0,1,0,1,0,0,0
333,Yes,No,4,210,Kumaraswamy Layout,Casual Dining,600,Delivery,Banashankari,0,0,0,1,0,0,1,0,1,0
334,Yes,No,5,130,Jayanagar,Cafe,650,Delivery,Banashankari,0,0,1,0,0,0,0,1,0,0
335,Yes,No,5,30,Jayanagar,Beverage Shop,100,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
336,Yes,No,4,144,Banashankari,Cafe,700,Delivery,Banashankari,0,0,1,1,0,0,0,1,0,0
338,Yes,No,4,133,Jayanagar,Casual Dining,700,Delivery,Banashankari,0,0,0,1,1,0,0,0,1,0
339,Yes,No,4,136,Jayanagar,Quick Bites,350,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,1
342,Yes,No,4,74,Basavanagudi,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
346,Yes,No,4,54,Basavanagudi,Cafe,600,Delivery,Banashankari,1,0,1,0,0,0,0,0,0,0
350,Yes,No,4,58,Basavanagudi,Cafe,400,Delivery,Banashankari,0,0,1,0,0,0,1,0,0,0
351,Yes,No,4,129,Banashankari,Casual Dining,600,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
355,Yes,No,4,41,South Bangalore,Food Truck,400,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
357,Yes,No,5,176,Basavanagudi,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
359,Yes,No,4,47,Jayanagar,Quick Bites,400,Delivery,Banashankari,1,0,0,0,0,1,1,0,0,0
359,Yes,No,4,47,Jayanagar, Dessert Parlor,400,Delivery,Banashankari,1,0,0,0,0,1,1,0,0,0
360,Yes,Yes,4,36,Jayanagar,Casual Dining,650,Delivery,Banashankari,0,0,0,1,0,0,0,1,1,0
374,Yes,No,4,101,Basavanagudi,Quick Bites,150,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
375,Yes,Yes,5,442,Jayanagar,Pub,1200,Delivery,Banashankari,0,0,0,0,1,0,0,0,0,0
375,Yes,Yes,5,442,Jayanagar, Casual Dining,1200,Delivery,Banashankari,0,0,0,0,1,0,0,0,0,0
390,Yes,No,4,53,Jayanagar,Quick Bites,250,Delivery,Banashankari,1,0,0,0,0,0,1,0,0,0
395,Yes,No,4,232,Jayanagar,Quick Bites,400,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,1
396,Yes,No,4,221,Jayanagar,Casual Dining,700,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
397,Yes,Yes,5,1063,Jayanagar,Casual Dining,1200,Delivery,Banashankari,0,0,0,0,0,0,1,1,0,0
397,Yes,Yes,5,1063,Jayanagar, Bar,1200,Delivery,Banashankari,0,0,0,0,0,0,1,1,0,0
398,Yes,No,4,93,Basavanagudi,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
399,Yes,No,4,233,Jayanagar,Casual Dining,800,Delivery,Banashankari,0,0,0,0,0,0,0,1,1,0
400,Yes,No,4,211,Jayanagar,Casual Dining,500,Delivery,Banashankari,1,0,0,0,1,0,1,0,0,0
401,Yes,No,4,1778,Jayanagar,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,1,0,1,1
402,Yes,No,4,218,Vijay Nagar,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
403,Yes,No,4,514,Basavanagudi,Cafe,600,Delivery,Banashankari,1,0,1,0,0,0,0,1,0,0
404,Yes,Yes,4,866,Jayanagar,Casual Dining,900,Delivery,Banashankari,0,0,0,0,1,0,0,0,1,0
405,Yes,No,4,96,Kumaraswamy Layout,Quick Bites,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
406,Yes,No,4,80,Banashankari,Quick Bites,250,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
407,Yes,No,4,73,Basavanagudi,Bakery,300,Delivery,Banashankari,0,0,0,0,0,1,0,0,0,0
408,Yes,No,4,84,Jayanagar,Sweet Shop,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
409,Yes,No,4,88,Banashankari,Quick Bites,350,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
410,Yes,No,4,179,Banashankari,Casual Dining,600,Delivery,Banashankari,1,0,0,1,0,0,0,0,1,0
411,Yes,No,4,61,Basavanagudi,Quick Bites,100,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
412,Yes,No,4,128,Uttarahalli,Casual Dining,450,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
413,Yes,No,4,339,Jayanagar,Quick Bites,400,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
414,Yes,No,5,449,Basavanagudi,Quick Bites,100,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
415,Yes,No,5,210,Jayanagar,Dessert Parlor,150,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
415,Yes,No,5,210,Jayanagar, Beverage Shop,150,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
417,Yes,No,3,213,Banashankari,Quick Bites,400,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
418,Yes,No,4,208,Jayanagar,Beverage Shop,250,Delivery,Banashankari,1,0,0,0,0,0,1,0,0,0
418,Yes,No,4,208,Jayanagar, Quick Bites,250,Delivery,Banashankari,1,0,0,0,0,0,1,0,0,0
419,Yes,No,4,70,Banashankari,Quick Bites,100,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
420,Yes,No,4,219,Basavanagudi,Cafe,600,Delivery,Banashankari,0,0,1,0,0,0,0,1,0,0
421,Yes,No,4,59,Banashankari,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
424,Yes,No,4,124,Kumaraswamy Layout,Casual Dining,750,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
456,Yes,Yes,5,775,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
457,Yes,Yes,5,2022,Jayanagar,Casual Dining,1000,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,1
460,Yes,Yes,5,150,Banashankari,Cafe,600,Delivery,Banashankari,0,0,1,0,1,0,0,1,0,0
461,Yes,No,4,232,Basavanagudi,Casual Dining,750,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
464,Yes,Yes,4,431,Jayanagar,Casual Dining,800,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
465,Yes,Yes,5,2115,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,0,1,1,0,1,0,0
467,Yes,No,5,150,Jayanagar,Casual Dining,800,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
